time,n_cam_on,n_cam_off
9:02,5,6
9:03,7,6
9:06,7,7
9:11,5,9
9:24,7,8
9:32,6,9
9:41,7,7
9:57,7,8
10:03,7,8
10:20,4,11
10:21,5,10
10:30,5,11
10:39,5,11
10:52,5,12
11:00,5,12
11:10,5,12
11:18,4,12
11:20,5,11
11:29,0,9
12:58,0,12
13:00,1,11
13:01,1,13
13:02,2,13
13:03,2,13
13:04,3,13
13:05,4,12
13:06,3,13
13:08,3,13
13:12,3,13
13:24,4,12
13:31,4,12
13:48,3,13
14:00,3,12
14:01,3,12
14:02,5,10
14:04,5,9
14:08,5,9
14:12,4,10
14:25,3,11
14:27,4,10
14:36,4,9
14:45,4,9
14:47,4,9
14:53,4,9
15:00,3,10
15:04,2,11
15:11,2,11
